x	y	clickSelects	tooltip
0.244778976306021	0.324806040447817	USC00414950	LAJITAS
0.276439538770079	0.324879354999429	USC00411715	CHISOS BASIN
0.276460313417365	0.324586096792983	USR0000TCHI	CHISOS BASIN
0.299852566261544	0.317955202902787	USC00417624	RIO GRANDE VILLAGE
0.476007725483044	0.326427106644561	US1TXKY0018	BRACKETTVILLE
0.565227910694531	0.324040310686542	US1TXMDN022	HONDO
0.58078812151184	0.314265037138342	US1TXMDN023	DEVINE
0.579617816381388	0.322207446896254	US1TXMDN039	DEVINE
0.589097980426291	0.319714752141463	US1TXAT0028	LYTLE
0.656615584106204	0.313971778931895	US1TXKS0009	GILLETT
0.686399503432082	0.313132734619008	US1TXDW0010	CUERO
0.701952789366962	0.325172613205875	USC00419952	YOAKUM
0.729347624254935	0.323633007622033	US1TXLV0002	HALLETTSVILLE
0.734485887017037	0.325083006531683	USC00418519	SPEAKS 2
0.761063585778422	0.321417278951108	US1TXWH0011	EL CAMPO
0.763605017629759	0.319152673912442	USC00412786	EL CAMPO
0.807924265173497	0.314085823789958	USC00419605	WEST COLUMBIA 1 ESE
0.823055133280226	0.316676271280231	US1TXBRZ021	ANGLETON
0.831025672955669	0.314403520180274	USR0000TBRA	BRAZORIA NWR
0.860975789459836	0.325123736838134	USW00012923	GALVESTON SCHOLES FIELD
0.253608201402625	0.333000978105725	US1TXBRS011	TERLINGUA
0.263898576691687	0.337945637308857	US1TXBRS018	TERLINGUA
0.282748106662633	0.331233282805759	USW00022016	PANTHER JUNCTION 2 N
0.438945754724594	0.338874288295935	US1TXVV0003	DEL RIO
0.46073835972774	0.328268116496138	US1TXKY0015	BRACKETTVILLE
0.528699155883091	0.328479914089683	US1TXUV0029	KNIPPA
0.550838005007674	0.329424857199342	US1TXMDN021	D HANIS
0.562167112661042	0.332186371976708	USW00012962	HONDO AIRPORT
0.57252673677439	0.335795077128252	US1TXMDN024	HONDO
0.587768402999979	0.337913053063696	US1TXBXR298	CASTROVILLE
0.602019811038263	0.330451260921903	US1TXBXR015	LACKLAND AFB
0.602739998810848	0.341081870905571	US1TXBXR188	SAN ANTONIO
0.614276852937077	0.33371783149926	US1TXBXR031	CHINA GROVE
0.61345971681049	0.342417824957158	US1TXBXR135	TERRELL HILLS
0.629269223395232	0.331738338605749	US1TXWO0014	ST. HEDWIG
0.629677791458527	0.327974858289692	US1TXWO0030	ADKINS
0.642675795777213	0.335949852292765	US1TXGP0014	NEW BERLIN
0.66243248534632	0.340739736331384	US1TXGZ0016	LEESVILLE
0.676870865210178	0.338361086434655	USC00413624	GONZALES
0.68329715610402	0.339200130747542	US1TXGZ0010	GONZALES
0.702963822201553	0.337815300328214	US1TXLV0004	SHINER
0.717180605827694	0.337261368160482	US1TXLV0023	HALLETTSVILLE
0.72926452566579	0.329938059060622	US1TXLV0005	HALLETTSVILLE
0.722381192531654	0.338800973744324	US1TXLV0025	HALLETTSVILLE
0.777150087660314	0.331705754360589	US1TXWH0009	WHARTON
0.807501847345345	0.342140858873292	USC00418996	THOMPSONS 3 WSW
0.817058185096964	0.341163331518472	US1TXFB0028	MISSOURI CITY
0.839813348757702	0.341798724299105	US1TXGV0052	LEAGUE CITY
0.832715344268274	0.336878503279845	US1TXBRZ018	ALVIN
0.855387409339869	0.330068396041265	US1TXGV0049	LA MARQUE
0.26715327143318	0.344429902095829	USC00419620	WEST CORAZONES
0.285213364807253	0.356648994031079	USC00416959	PERSIMMON GAP
0.473687889869427	0.352551525202126	USC00411013	BRACKETTVILLE
0.505057607271478	0.351541413602145	US1TXUV0019	CAMP WOOD2 SSE
0.575656783632167	0.356600117663339	US1TXBND038	PIPE CREEK
0.579299271789668	0.358587756618139	US1TXBND048	PIPE CREEK
0.578634483076511	0.353463884066624	US1TXBND019	LAKEHILLS
0.585240820913501	0.34639310286676	US1TXMDN027	MICO
0.603737181880582	0.350612762615066	US1TXBXR075	SHAVANO PARK
0.596528379272296	0.349456021911862	US1TXBXR014	HELOTES
0.615287885771669	0.351125964476346	US1TXBXR008	HOLLYWOOD PARK
0.62820971638364	0.354156299276288	US1TXCML046	CIBOLO
0.641020748876752	0.351704334827948	US1TXGP0034	MCQUEENEY
